AÑO,ENTIDAD,EDAD,SEXO,POBLACION
2003,Zacatecas,14,Mujeres,16138
2003,Zacatecas,15,Hombres,15871
2003,Zacatecas,15,Mujeres,15887
2003,Zacatecas,16,Hombres,15365
2003,Zacatecas,16,Mujeres,15596
2003,Zacatecas,17,Hombres,14736
2003,Zacatecas,17,Mujeres,15255
2003,Zacatecas,18,Hombres,13973
2003,Zacatecas,18,Mujeres,14845
2003,Zacatecas,19,Hombres,13110
2003,Zacatecas,19,Mujeres,14363
2003,Zacatecas,20,Hombres,12235
2003,Zacatecas,20,Mujeres,13847
2003,Zacatecas,21,Hombres,11430
2003,Zacatecas,21,Mujeres,13335
2003,Zacatecas,22,Hombres,10751
2003,Zacatecas,22,Mujeres,12858
2003,Zacatecas,23,Hombres,10221
2003,Zacatecas,23,Mujeres,12439
2003,Zacatecas,24,Hombres,9836
2003,Zacatecas,24,Mujeres,12083
2003,Zacatecas,25,Hombres,9589
2003,Zacatecas,25,Mujeres,11800
2003,Zacatecas,26,Hombres,9461
2003,Zacatecas,26,Mujeres,11591
2003,Zacatecas,27,Hombres,9416
2003,Zacatecas,27,Mujeres,11427
2003,Zacatecas,28,Hombres,9389
2003,Zacatecas,28,Mujeres,11256
2003,Zacatecas,29,Hombres,9342
2003,Zacatecas,29,Mujeres,11044
2003,Zacatecas,30,Hombres,9262
2003,Zacatecas,30,Mujeres,10795
2004,Zacatecas,3,Hombres,16887
2004,Zacatecas,3,Mujeres,16337
2004,Zacatecas,4,Hombres,16777
2004,Zacatecas,4,Mujeres,16223
2004,Zacatecas,5,Hombres,16549
2004,Zacatecas,5,Mujeres,16004
2004,Zacatecas,6,Hombres,16493
2004,Zacatecas,6,Mujeres,15950
2004,Zacatecas,7,Hombres,16540
2004,Zacatecas,7,Mujeres,15998
2004,Zacatecas,8,Hombres,16659
2004,Zacatecas,8,Mujeres,16134
2004,Zacatecas,9,Hombres,16806
2004,Zacatecas,9,Mujeres,16299
2004,Zacatecas,10,Hombres,16921
2004,Zacatecas,10,Mujeres,16435
2004,Zacatecas,11,Hombres,16959
2004,Zacatecas,11,Mujeres,16512
2004,Zacatecas,12,Hombres,16880
2004,Zacatecas,12,Mujeres,16500
2004,Zacatecas,13,Hombres,16641
2004,Zacatecas,13,Mujeres,16360
2004,Zacatecas,14,Hombres,16267
2004,Zacatecas,14,Mujeres,16117
2004,Zacatecas,15,Hombres,15837
2004,Zacatecas,15,Mujeres,15841
2004,Zacatecas,16,Hombres,15353
2004,Zacatecas,16,Mujeres,15550
2004,Zacatecas,17,Hombres,14772
2004,Zacatecas,17,Mujeres,15222
2004,Zacatecas,18,Hombres,14087
2004,Zacatecas,18,Mujeres,14849
2004,Zacatecas,19,Hombres,13304
2004,Zacatecas,19,Mujeres,14424
2004,Zacatecas,20,Hombres,12463
2004,Zacatecas,20,Mujeres,13942
2004,Zacatecas,21,Hombres,11637
2004,Zacatecas,21,Mujeres,13439
2004,Zacatecas,22,Hombres,10896
2004,Zacatecas,22,Mujeres,12948
2004,Zacatecas,23,Hombres,10284
2004,Zacatecas,23,Mujeres,12495
2004,Zacatecas,24,Hombres,9821
2004,Zacatecas,24,Mujeres,12102
2004,Zacatecas,25,Hombres,9502
2004,Zacatecas,25,Mujeres,11774
2004,Zacatecas,26,Hombres,9314
2004,Zacatecas,26,Mujeres,11523
2004,Zacatecas,27,Hombres,9241
2004,Zacatecas,27,Mujeres,11346
2004,Zacatecas,28,Hombres,9244
2004,Zacatecas,28,Mujeres,11217
2004,Zacatecas,29,Hombres,9259
2004,Zacatecas,29,Mujeres,11077
2004,Zacatecas,30,Hombres,9243
2004,Zacatecas,30,Mujeres,10892
2005,Zacatecas,3,Hombres,16615
2005,Zacatecas,3,Mujeres,16132
2005,Zacatecas,4,Hombres,16605
2005,Zacatecas,4,Mujeres,16114
2005,Zacatecas,5,Hombres,16489
2005,Zacatecas,5,Mujeres,16000
2005,Zacatecas,6,Hombres,16423
2005,Zacatecas,6,Mujeres,15937
2005,Zacatecas,7,Hombres,16354
2005,Zacatecas,7,Mujeres,15873
2005,Zacatecas,8,Hombres,16362
2005,Zacatecas,8,Mujeres,15901
2005,Zacatecas,9,Hombres,16462
2005,Zacatecas,9,Mujeres,16017
2005,Zacatecas,10,Hombres,16594
2005,Zacatecas,10,Mujeres,16162
2005,Zacatecas,11,Hombres,16682
2005,Zacatecas,11,Mujeres,16278
2005,Zacatecas,12,Hombres,16685
2005,Zacatecas,12,Mujeres,16335
2005,Zacatecas,13,Hombres,16566
2005,Zacatecas,13,Mujeres,16298
2005,Zacatecas,14,Hombres,16282
2005,Zacatecas,14,Mujeres,16132
2005,Zacatecas,15,Hombres,15851
2005,Zacatecas,15,Mujeres,15854
2005,Zacatecas,16,Hombres,15350
2005,Zacatecas,16,Mujeres,15537
2005,Zacatecas,17,Hombres,14792
2005,Zacatecas,17,Mujeres,15206
2005,Zacatecas,18,Hombres,14157
2005,Zacatecas,18,Mujeres,14845
2005,Zacatecas,19,Hombres,13452
2005,Zacatecas,19,Mujeres,14455
2005,Zacatecas,20,Hombres,12691
2005,Zacatecas,20,Mujeres,14027
2005,Zacatecas,21,Hombres,11902
2005,Zacatecas,21,Mujeres,13559
2005,Zacatecas,22,Hombres,11144
2005,Zacatecas,22,Mujeres,13078
2005,Zacatecas,23,Hombres,10476
2005,Zacatecas,23,Mujeres,12613
2005,Zacatecas,24,Hombres,9937
2005,Zacatecas,24,Mujeres,12190
2005,Zacatecas,25,Hombres,9544
2005,Zacatecas,25,Mujeres,11829
2005,Zacatecas,26,Hombres,9286
2005,Zacatecas,26,Mujeres,11538
2005,Zacatecas,27,Hombres,9152
2005,Zacatecas,27,Mujeres,11322
2005,Zacatecas,28,Hombres,9124
2005,Zacatecas,28,Mujeres,11179
2005,Zacatecas,29,Hombres,9161
2005,Zacatecas,29,Mujeres,11077
2005,Zacatecas,30,Hombres,9200
2005,Zacatecas,30,Mujeres,10960
2006,Zacatecas,3,Hombres,16416
2006,Zacatecas,3,Mujeres,16002
2006,Zacatecas,4,Hombres,16421
2006,Zacatecas,4,Mujeres,16007
2006,Zacatecas,5,Hombres,16405
2006,Zacatecas,5,Mujeres,15987
2006,Zacatecas,6,Hombres,16438
2006,Zacatecas,6,Mujeres,16010
2006,Zacatecas,7,Hombres,16365
2006,Zacatecas,7,Mujeres,15940
2006,Zacatecas,8,Hombres,16262
2006,Zacatecas,8,Mujeres,15857
2006,Zacatecas,9,Hombres,16253
2006,Zacatecas,9,Mujeres,15863
2006,Zacatecas,10,Hombres,16341
2006,Zacatecas,10,Mujeres,15959
2006,Zacatecas,11,Hombres,16447
2006,Zacatecas,11,Mujeres,16087
2006,Zacatecas,12,Hombres,16504
2006,Zacatecas,12,Mujeres,16183
2006,Zacatecas,13,Hombres,16466
2006,Zacatecas,13,Mujeres,16213
2006,Zacatecas,14,Hombres,16301
2006,Zacatecas,14,Mujeres,16146
2006,Zacatecas,15,Hombres,15962
2006,Zacatecas,15,Mujeres,15942
2006,Zacatecas,16,Hombres,15469
2006,Zacatecas,16,Mujeres,15624
2006,Zacatecas,17,Hombres,14905
2006,Zacatecas,17,Mujeres,15269
2006,Zacatecas,18,Hombres,14305
2006,Zacatecas,18,Mujeres,14906
2006,Zacatecas,19,Hombres,13657
2006,Zacatecas,19,Mujeres,14530
2006,Zacatecas,20,Hombres,12974
2006,Zacatecas,20,Mujeres,14138
2006,Zacatecas,21,Hombres,12263
2006,Zacatecas,21,Mujeres,13724
2006,Zacatecas,22,Hombres,11537
2006,Zacatecas,22,Mujeres,13276
2006,Zacatecas,23,Hombres,10849
2006,Zacatecas,23,Mujeres,12822
2006,Zacatecas,24,Hombres,10251
2006,Zacatecas,24,Mujeres,12389
2006,Zacatecas,25,Hombres,9779
2006,Zacatecas,25,Mujeres,12000
2006,Zacatecas,26,Hombres,9442
2006,Zacatecas,26,Mujeres,11676
2006,Zacatecas,27,Hombres,9231
2006,Zacatecas,27,Mujeres,11419
2006,Zacatecas,28,Hombres,9132
2006,Zacatecas,28,Mujeres,11234
2006,Zacatecas,29,Hombres,9128
2006,Zacatecas,29,Mujeres,11113
2006,Zacatecas,30,Hombres,9179
2006,Zacatecas,30,Mujeres,11029
2007,Zacatecas,3,Hombres,16347
2007,Zacatecas,3,Mujeres,15982
2007,Zacatecas,4,Hombres,16288
2007,Zacatecas,4,Mujeres,15936
2007,Zacatecas,5,Hombres,16286
2007,Zacatecas,5,Mujeres,15935
2007,Zacatecas,6,Hombres,16404
2007,Zacatecas,6,Mujeres,16033
2007,Zacatecas,7,Hombres,16429
2007,Zacatecas,7,Mujeres,16049
2007,Zacatecas,8,Hombres,16326
2007,Zacatecas,8,Mujeres,15959
2007,Zacatecas,9,Hombres,16206
2007,Zacatecas,9,Mujeres,15852
2007,Zacatecas,10,Hombres,16186
2007,Zacatecas,10,Mujeres,15842
2007,Zacatecas,11,Hombres,16253
2007,Zacatecas,11,Mujeres,15924
2007,Zacatecas,12,Hombres,16333
2007,Zacatecas,12,Mujeres,16033
2007,Zacatecas,13,Hombres,16354
2007,Zacatecas,13,Mujeres,16106
2007,Zacatecas,14,Hombres,16280
2007,Zacatecas,14,Mujeres,16109
2007,Zacatecas,15,Hombres,16068
2007,Zacatecas,15,Mujeres,16010
2007,Zacatecas,16,Hombres,15678
2007,Zacatecas,16,Mujeres,15773
2007,Zacatecas,17,Hombres,15138
2007,Zacatecas,17,Mujeres,15424
2007,Zacatecas,18,Hombres,14545
2007,Zacatecas,18,Mujeres,15044
2007,Zacatecas,19,Hombres,13937
2007,Zacatecas,19,Mujeres,14670
2007,Zacatecas,20,Hombres,13309
2007,Zacatecas,20,Mujeres,14293
2007,Zacatecas,21,Hombres,12664
2007,Zacatecas,21,Mujeres,13914
2007,Zacatecas,22,Hombres,12001
2007,Zacatecas,22,Mujeres,13516
2007,Zacatecas,23,Hombres,11331
2007,Zacatecas,23,Mujeres,13091
2007,Zacatecas,24,Hombres,10702
2007,Zacatecas,24,Mujeres,12665
2007,Zacatecas,25,Hombres,10159
2007,Zacatecas,25,Mujeres,12262
2007,Zacatecas,26,Hombres,9734
2007,Zacatecas,26,Mujeres,11905
2007,Zacatecas,27,Hombres,9436
2007,Zacatecas,27,Mujeres,11610
2007,Zacatecas,28,Hombres,9253
2007,Zacatecas,28,Mujeres,11379
2007,Zacatecas,29,Hombres,9173
2007,Zacatecas,29,Mujeres,11210
2007,Zacatecas,30,Hombres,9182
2007,Zacatecas,30,Mujeres,11102
2008,Zacatecas,3,Hombres,16386
2008,Zacatecas,3,Mujeres,16034
2008,Zacatecas,4,Hombres,16237
2008,Zacatecas,4,Mujeres,15916
2008,Zacatecas,5,Hombres,16161
2008,Zacatecas,5,Mujeres,15855
2008,Zacatecas,6,Hombres,16278
2008,Zacatecas,6,Mujeres,15956
2008,Zacatecas,7,Hombres,16389
2008,Zacatecas,7,Mujeres,16050
2008,Zacatecas,8,Hombres,16389
2008,Zacatecas,8,Mujeres,16045
2008,Zacatecas,9,Hombres,16266
2008,Zacatecas,9,Mujeres,15928
2008,Zacatecas,10,Hombres,16136
2008,Zacatecas,10,Mujeres,15811
2008,Zacatecas,11,Hombres,16101
2008,Zacatecas,11,Mujeres,15789
2008,Zacatecas,12,Hombres,16146
2008,Zacatecas,12,Mujeres,15856
2008,Zacatecas,13,Hombres,16198
2008,Zacatecas,13,Mujeres,15944
2008,Zacatecas,14,Hombres,16192
2008,Zacatecas,14,Mujeres,15996
2008,Zacatecas,15,Hombres,16082
2008,Zacatecas,15,Mujeres,15975
2008,Zacatecas,16,Hombres,15832
2008,Zacatecas,16,Mujeres,15850
2008,Zacatecas,17,Hombres,15410
2008,Zacatecas,17,Mujeres,15588
2008,Zacatecas,18,Hombres,14851
2008,Zacatecas,18,Mujeres,15221
2008,Zacatecas,19,Hombres,14259
2008,Zacatecas,19,Mujeres,14835
2008,Zacatecas,20,Hombres,13671
2008,Zacatecas,20,Mujeres,14463
2008,Zacatecas,21,Hombres,13076
2008,Zacatecas,21,Mujeres,14097
2008,Zacatecas,22,Hombres,12472
2008,Zacatecas,22,Mujeres,13730
2008,Zacatecas,23,Hombres,11856
2008,Zacatecas,23,Mujeres,13351
2008,Zacatecas,24,Hombres,11235
2008,Zacatecas,24,Mujeres,12949
2008,Zacatecas,25,Hombres,10651
2008,Zacatecas,25,Mujeres,12550
2008,Zacatecas,26,Hombres,10149
2008,Zacatecas,26,Mujeres,12174
2008,Zacatecas,27,Hombres,9754
2008,Zacatecas,27,Mujeres,11841
2008,Zacatecas,28,Hombres,9478
2008,Zacatecas,28,Mujeres,11567
2008,Zacatecas,29,Hombres,9310
2008,Zacatecas,29,Mujeres,11347
2008,Zacatecas,30,Hombres,9240
2008,Zacatecas,30,Mujeres,11189
2009,Zacatecas,3,Hombres,16504
2009,Zacatecas,3,Mujeres,16118
2009,Zacatecas,4,Hombres,16270
2009,Zacatecas,4,Mujeres,15938
2009,Zacatecas,5,Hombres,16102
2009,Zacatecas,5,Mujeres,15803
2009,Zacatecas,6,Hombres,16140
2009,Zacatecas,6,Mujeres,15839
2009,Zacatecas,7,Hombres,16251
2009,Zacatecas,7,Mujeres,15938
2009,Zacatecas,8,Hombres,16340
2009,Zacatecas,8,Mujeres,16010
2009,Zacatecas,9,Hombres,16317
2009,Zacatecas,9,Mujeres,15977
2009,Zacatecas,10,Hombres,16186
2009,Zacatecas,10,Mujeres,15855
2009,Zacatecas,11,Hombres,16046
2009,Zacatecas,11,Mujeres,15730
2009,Zacatecas,12,Hombres,15994
2009,Zacatecas,12,Mujeres,15695
2009,Zacatecas,13,Hombres,16020
2009,Zacatecas,13,Mujeres,15746
2009,Zacatecas,14,Hombres,16056
2009,Zacatecas,14,Mujeres,15820
2009,Zacatecas,15,Hombres,16026
2009,Zacatecas,15,Mujeres,15853
2009,Zacatecas,16,Hombres,15891
2009,Zacatecas,16,Mujeres,15811
2009,Zacatecas,17,Hombres,15620
2009,Zacatecas,17,Mujeres,15667
2009,Zacatecas,18,Hombres,15185
2009,Zacatecas,18,Mujeres,15393
2009,Zacatecas,19,Hombres,14635
2009,Zacatecas,19,Mujeres,15024
2009,Zacatecas,20,Hombres,14062
2009,Zacatecas,20,Mujeres,14642
2009,Zacatecas,21,Hombres,13504
2009,Zacatecas,21,Mujeres,14279
2009,Zacatecas,22,Hombres,12945
2009,Zacatecas,22,Mujeres,13923
2009,Zacatecas,23,Hombres,12379
2009,Zacatecas,23,Mujeres,13570
2009,Zacatecas,24,Hombres,11802
2009,Zacatecas,24,Mujeres,13210
2009,Zacatecas,25,Hombres,11218
2009,Zacatecas,25,Mujeres,12832
2009,Zacatecas,26,Hombres,10668
2009,Zacatecas,26,Mujeres,12455
2009,Zacatecas,27,Hombres,10189
2009,Zacatecas,27,Mujeres,12099
2009,Zacatecas,28,Hombres,9812
2009,Zacatecas,28,Mujeres,11782
2009,Zacatecas,29,Hombres,9546
2009,Zacatecas,29,Mujeres,11516
2009,Zacatecas,30,Hombres,9384
2009,Zacatecas,30,Mujeres,11304
2010,Zacatecas,3,Hombres,16687
2010,Zacatecas,3,Mujeres,16229
2010,Zacatecas,4,Hombres,16401
2010,Zacatecas,4,Mujeres,16017
2010,Zacatecas,5,Hombres,16169
2010,Zacatecas,5,Mujeres,15840
2010,Zacatecas,6,Hombres,16120
2010,Zacatecas,6,Mujeres,15802
2010,Zacatecas,7,Hombres,16157
2010,Zacatecas,7,Mujeres,15839
